StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
2025-03-14 15:29:42,2025-03-14 15:30:46,IP Address,100,63,True,2025-03-14 15:30:46,R_7Pdr9eRsZGcA68R,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,,Lower Middle Class,6 – 10 hours,4 – 6 hours,11 – 15 hours,1 – 5 hours,Fair,No,No,Yes,Yes,No,Yes,Often,Sometimes,Rarely,very Often
2025-03-14 15:33:05,2025-03-14 15:34:20,IP Address,100,75,True,2025-03-14 15:34:21,R_52RLZAJkMm0QYVP,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,Yes,No,No,No,Rarely,Rarely,Never,Never
2025-03-14 18:18:08,2025-03-14 18:22:19,IP Address,100,251,True,2025-03-14 18:22:20,R_6gpum038bpjCl81,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,Yes,No,Yes,No,Often,Rarely,Sometimes,Sometimes
2025-03-14 18:45:47,2025-03-14 18:48:09,IP Address,100,141,True,2025-03-14 18:48:09,R_7Jzmc3pmpXXLZsG,anonymous,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,,Yes,No,No,No,Rarely,Rarely,Never,Never
2025-03-14 22:58:41,2025-03-14 23:00:58,IP Address,100,137,True,2025-03-14 23:00:58,R_7gF6yKpOCGiWIKJ,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Poor (1),Yes,Yes,Yes,No,Yes,Yes,Very Often,Often,Often,Often
2025-03-15 13:38:28,2025-03-15 13:45:05,IP Address,100,397,True,2025-03-15 13:45:06,R_7VfJi0UzZV69NoB,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,2.00 – 2.99,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,More than 20 hours,1 – 5 hours,Poor (1),Yes,Yes,No,No,No,No,Never,Never,Never,Never
2025-03-15 16:55:17,2025-03-15 16:58:31,IP Address,100,194,True,2025-03-15 16:58:32,R_5dYLBo6Cv5vjGFO,anonymous,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Good,Yes,Yes,No,No,No,Yes,Rarely,Sometimes,Sometimes,Rarely
2025-03-18 12:35:54,2025-03-18 12:38:08,IP Address,100,134,True,2025-03-18 12:38:08,R_3PFkKitmGOBYxup,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,16 – 20 hours,7 – 9 hours,11 – 15 hours,1 – 5 hours,Okay,Yes,No,No,No,No,No,Sometimes,Sometimes,Rarely,Sometimes
2025-03-18 13:44:36,2025-03-18 13:44:53,IP Address,100,16,True,2025-03-18 13:44:53,R_5zh2zRXgtVjuWdz,anonymous,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-18 13:44:40,2025-03-18 13:44:54,IP Address,100,14,True,2025-03-18 13:44:55,R_5eg0mBwGf9jvh2A,anonymous,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-18 13:44:41,2025-03-18 13:45:17,IP Address,100,35,True,2025-03-18 13:45:18,R_5V7UC44J627XQ3j,anonymous,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-18 13:44:30,2025-03-18 13:46:06,IP Address,100,96,True,2025-03-18 13:46:06,R_6DgPNUmZXsYnO01,anonymous,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,4 – 6 hours,1 – 5 hours,6 – 10 hours,Okay,Yes,Yes,No,No,No,No,Sometimes,Rarely,Never,Never
2025-03-18 13:44:24,2025-03-18 13:46:16,IP Address,100,112,True,2025-03-18 13:46:17,R_5qPYAM0znWcvviQ,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Fair,Yes,Yes,Yes,No,Yes,Yes,Often,Often,Often,Sometimes
2025-03-18 13:44:35,2025-03-18 13:46:26,IP Address,100,111,True,2025-03-18 13:46:27,R_5hRvGCjBJn7CyTc,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,1 – 3 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Fair,Yes,Yes,No,No,No,No,Often,Often,Sometimes,Rarely
2025-03-18 13:44:45,2025-03-18 13:46:31,IP Address,100,105,True,2025-03-18 13:46:31,R_5XVhg2t8G0Vqt7H,anonymous,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,No,No,No,No,No,Rarely,Never,Never,Never
2025-03-18 13:44:40,2025-03-18 13:46:35,IP Address,100,114,True,2025-03-18 13:46:36,R_5ltnEPT9sHGGVu3,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Fair,Yes,No,No,No,No,No,Very Often,Very Often,Very Often,very Often
2025-03-18 13:44:42,2025-03-18 13:46:41,IP Address,100,119,True,2025-03-18 13:46:42,R_5DUdqZcj6CiNzLn,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,11 – 15 hours,1 – 5 hours,Good,Yes,Yes,No,No,No,No,Never,Never,Rarely,Sometimes
2025-03-18 13:44:24,2025-03-18 13:46:49,IP Address,100,144,True,2025-03-18 13:46:49,R_6AECPYuyGWHg50v,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,No,No,No,No,Never,Rarely,Never,Never
2025-03-18 13:44:26,2025-03-18 13:46:49,IP Address,100,143,True,2025-03-18 13:46:50,R_65TsVOVD1idG9Q0,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,No,No,No,Yes,Never,Often,Sometimes,Often
2025-03-18 13:45:12,2025-03-18 13:47:03,IP Address,100,110,True,2025-03-18 13:47:03,R_5E5viOBM9wsX10A,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,No,No,No,No,Never,Never,Never,Never
2025-03-18 13:44:25,2025-03-18 13:47:08,IP Address,100,163,True,2025-03-18 13:47:09,R_5JlAxElunxdiVN1,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,No,No,No,No,Sometimes,Never,Never,Never
2025-03-18 13:44:33,2025-03-18 13:47:12,IP Address,100,159,True,2025-03-18 13:47:13,R_5je2ywNGckEGblk,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,Prefer not to say,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Fair,Yes,Yes,No,No,No,No,Rarely,Rarely,Rarely,Rarely
2025-03-18 13:44:36,2025-03-18 13:47:14,IP Address,100,158,True,2025-03-18 13:47:15,R_5mirPTDbuVzwkhj,anonymous,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,Don’t know,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,More than 20 hours,4 – 6 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Excellent (5),Yes,No,No,No,No,No,Never,Never,Never,Never
2025-03-18 13:44:37,2025-03-18 13:47:22,IP Address,100,164,True,2025-03-18 13:47:22,R_5jZZLYWIlvuUHBm,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),11 – 15 hours,Okay,No,No,Yes,No,Yes,Yes,Very Often,Sometimes,Sometimes,Often
2025-03-18 13:45:48,2025-03-18 13:47:36,IP Address,100,107,True,2025-03-18 13:47:36,R_308FA7ARVturh7y,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,No,No,No,No,Sometimes,Sometimes,Sometimes,Sometimes
2025-03-18 13:45:23,2025-03-18 13:48:10,IP Address,100,166,True,2025-03-18 13:48:10,R_67oKv6DurO1I89j,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Poor (1),Yes,Yes,No,No,No,No,Never,Never,Never,Never
2025-03-18 13:45:18,2025-03-18 13:48:22,IP Address,100,183,True,2025-03-18 13:48:22,R_5siBbxU5AIcWMRb,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Fair,Yes,Yes,No,No,No,No,Rarely,Never,Rarely,Never
2025-03-18 13:44:39,2025-03-18 13:48:37,IP Address,100,238,True,2025-03-18 13:48:38,R_5s71sih8h1lRwMd,anonymous,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Good,Yes,Yes,No,No,No,No,Sometimes,Rarely,Rarely,
2025-03-18 13:46:35,2025-03-18 13:49:45,IP Address,100,190,True,2025-03-18 13:49:45,R_3jfRbDIFK9W3YFa,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,2.00 – 2.99,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,No,No,No,No,Never,Never,Never,Never
2025-03-19 11:29:54,2025-03-19 11:32:29,IP Address,100,155,True,2025-03-19 11:32:30,R_5MAxvsMx8U8C7og,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,11 – 15 hours,4 – 6 hours,More than 20 hours,1 – 5 hours,Okay,Yes,Yes,No,No,Yes,No,Often,Sometimes,Often,Sometimes
2025-03-19 11:37:27,2025-03-19 11:40:09,IP Address,100,162,True,2025-03-19 11:40:10,R_5rAjRRtin2Xpa2a,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,7 – 9 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Excellent (5),Yes,Yes,No,No,Yes,No,Sometimes,Sometimes,Often,Rarely
2025-03-19 11:37:13,2025-03-19 11:41:12,IP Address,100,238,True,2025-03-19 11:41:12,R_3NXHFyTgmKvNocx,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,1 – 5 hours,4 – 6 hours,6 – 10 hours,0 hours (don’t engage in extracurricular activities),Okay,Yes,No,Yes,Yes,Yes,Yes,Very Often,Sometimes,Often,Rarely
2025-03-19 12:17:46,2025-03-19 12:22:25,IP Address,100,278,True,2025-03-19 12:22:25,R_700nRnx2ROausHW,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,4 – 6 hours,16 – 20 hours,1 – 5 hours,Good,Yes,Yes,No,No,Yes,No,Often,Often,Sometimes,Often
2025-03-19 14:12:09,2025-03-19 14:13:45,IP Address,100,96,True,2025-03-19 14:13:46,R_6oFWa9L7sfiHtOT,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Good,Yes,Yes,Yes,No,No,No,Often,Rarely,Sometimes,Rarely
2025-03-19 14:14:18,2025-03-19 14:16:53,IP Address,100,154,True,2025-03-19 14:16:53,R_7tleEmDqICSORyV,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),11 – 15 hours,Okay,Yes,Yes,Yes,No,No,No,Sometimes,Rarely,Sometimes,Rarely
2025-03-19 14:14:22,2025-03-19 14:17:05,IP Address,100,162,True,2025-03-19 14:17:05,R_5PjqLb9WdBX8VjK,qr,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),6 – 10 hours,Okay,Yes,Yes,Yes,No,Yes,Yes,Rarely,Sometimes,Sometimes,Sometimes
2025-03-19 14:18:10,2025-03-19 14:20:56,IP Address,100,166,True,2025-03-19 14:20:57,R_3Qs1JrpKrvzvRMM,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),More than 20 hours,Okay,Yes,Yes,Yes,Yes,Yes,Yes,Very Often,Very Often,Often,Often
2025-03-19 14:18:46,2025-03-19 14:22:45,IP Address,100,239,True,2025-03-19 14:22:46,R_3zZMxGrufA9Zuhk,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,2.00 – 2.99,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,No,Yes,Yes,No,No,Yes,Very Often,Very Often,Very Often,Often
2025-03-19 14:23:50,2025-03-19 14:25:45,IP Address,100,114,True,2025-03-19 14:25:46,R_69brIjSsuEaZyUW,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,11 – 15 hours,1 – 5 hours,Fair,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Often,Sometimes
2025-03-19 14:32:07,2025-03-19 14:33:28,IP Address,100,81,True,2025-03-19 14:33:29,R_6zDagUSOsWdtsbH,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,16 – 20 hours,More than 20 hours,Excellent (5),Yes,No,No,No,No,No,Very Often,Very Often,Very Often,Sometimes
2025-03-19 14:32:39,2025-03-19 14:35:15,IP Address,100,156,True,2025-03-19 14:35:15,R_7h9IfJpArphgxNG,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,No,Yes,No,No,Yes,Very Often,Sometimes,Often,very Often
2025-03-19 14:39:05,2025-03-19 14:40:47,IP Address,100,101,True,2025-03-19 14:40:47,R_1giKftWW7NABdf3,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,16 – 20 hours,1 – 5 hours,Good,Yes,Yes,Yes,No,Yes,No,Very Often,Very Often,Very Often,very Often
2025-03-19 15:00:18,2025-03-19 15:02:18,IP Address,100,119,True,2025-03-19 15:02:19,R_54fd1wZk0rj3ORX,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,11 – 15 hours,1 – 3 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Good,Yes,No,No,No,No,No,Never,Sometimes,Often,Often
2025-03-13 13:07:32,2025-03-13 13:08:59,IP Address,52,86,False,2025-03-20 13:09:05,R_1QJ7fA1qbQ4efWV,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),,,,,,,,,,,
2025-03-13 13:32:17,2025-03-13 13:33:42,IP Address,48,85,False,2025-03-20 13:33:49,R_6P7hrKTfdauhew4,qr,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,1 – 5 hours,,,,,,,,,,,,
2025-03-21 13:29:26,2025-03-21 13:29:35,IP Address,100,9,True,2025-03-21 13:29:36,R_14FScNIE759VQrn,qr,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-21 13:33:31,2025-03-21 13:33:38,IP Address,100,7,True,2025-03-21 13:33:39,R_7Po3QwTc8md8kba,qr,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-21 13:31:54,2025-03-21 13:35:33,IP Address,100,218,True,2025-03-21 13:35:33,R_7DYDHlbV6QDLdAJ,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Good,Yes,Yes,No,No,Yes,No,Sometimes,Sometimes,Often,Never
2025-03-21 13:36:33,2025-03-21 13:43:25,IP Address,100,411,True,2025-03-21 13:43:25,R_7qERRVGzAv2qVQB,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),6 – 10 hours,Good,No,Yes,Yes,No,Yes,No,Often,Very Often,Very Often,very Often
2025-03-21 13:42:51,2025-03-21 13:45:16,IP Address,100,144,True,2025-03-21 13:45:16,R_7fdY2UkNr74c5fw,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,0 hours (don’t engage in extracurricular activities),Fair,Yes,No,No,No,No,No,Often,Rarely,Rarely,Rarely
2025-03-14 15:19:54,2025-03-14 15:20:28,IP Address,30,33,False,2025-03-21 15:20:29,R_1wQ5RJ5mgIqriJr,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",,,,,,,,,,,,,,,,
2025-03-14 15:25:17,2025-03-14 15:28:34,IP Address,43,196,False,2025-03-21 15:28:40,R_6FXwoChEtgfQWxB,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,4 – 6 hours,,,,,,,,,,,,,
2025-03-14 15:31:09,2025-03-14 15:32:55,IP Address,52,105,False,2025-03-21 15:33:01,R_3ErLw4Ks2K0LKr8,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,1.00 – 1.99,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),,,,,,,,,,,
2025-03-19 14:24:41,2025-03-19 14:25:28,IP Address,22,46,False,2025-03-26 14:25:30,R_3CJgLvfuz3mzOeO,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,,,,,,,,,,,,,,,,,,
2025-03-19 14:24:44,2025-03-19 14:28:00,IP Address,48,196,False,2025-03-26 14:28:02,R_7ttgdeKAtgdgH6J,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),,,,,,,,,,,,
2025-03-19 14:38:54,2025-03-19 14:39:53,IP Address,17,58,False,2025-03-26 14:39:54,R_1nGgOHNH7R6g8lL,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,,,,,,,,,,,,,,,,,,,
2025-03-26 17:13:55,2025-03-26 17:16:39,IP Address,100,164,True,2025-03-26 17:16:42,R_1SknZBDPYbN7bwy,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,16 – 20 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,No,No,No,No,Never,Sometimes,Never,Never
2025-03-27 16:40:00,2025-03-27 16:42:26,IP Address,100,146,True,2025-03-27 16:42:27,R_79sJ5wftlRmGbXT,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),11 – 15 hours,Fair,Yes,Yes,Yes,No,,Yes,Often,Sometimes,Often,Rarely
2025-03-21 13:28:06,2025-03-21 13:32:44,IP Address,96,278,False,2025-03-28 13:32:49,R_6j80eUelZbtqSBH,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Fair,No,Yes,No,No,Yes,No,Sometimes,Sometimes,Sometimes,
2025-04-11 14:58:58,2025-04-11 15:01:34,IP Address,100,156,True,2025-04-11 15:01:35,R_54ngfTMQozV7s0F,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,No,No,No,No,No,Often,Rarely,Sometimes,Rarely
2025-04-11 19:29:53,2025-04-11 19:35:49,IP Address,100,356,True,2025-04-11 19:35:50,R_5XotISVEAlCOxk5,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,7 – 9 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Excellent (5),Yes,Yes,No,No,No,No,Never,Never,Never,Never
2025-04-11 23:14:28,2025-04-11 23:19:17,IP Address,100,289,True,2025-04-11 23:19:17,R_6n70JB2nwHZIAv5,anonymous,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Junior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,More than 20 hours,7 – 9 hours,11 – 15 hours,1 – 5 hours,Good,Yes,Yes,No,No,No,No,Sometimes,Rarely,Rarely,Rarely
2025-04-12 09:53:39,2025-04-12 09:56:06,IP Address,100,147,True,2025-04-12 09:56:07,R_5QPOWgH04dniNUr,anonymous,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,Don’t know,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,1 – 5 hours,1 – 5 hours,Fair,Yes,No,No,No,No,No,Often,Sometimes,Sometimes,Rarely
2025-04-12 23:20:56,2025-04-12 23:25:35,IP Address,100,279,True,2025-04-12 23:25:36,R_572aD4YswW9PxuD,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Fair,Yes,Yes,No,No,No,Yes,Often,Often,Sometimes,Sometimes
2025-04-13 14:09:37,2025-04-13 14:13:33,IP Address,100,236,True,2025-04-13 14:13:33,R_7xCVrs6D87utNJa,anonymous,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),11 – 15 hours,Okay,Yes,Yes,No,No,No,No,Rarely,Rarely,Never,Never
